origin_key,dest_key,city,num
523856693,523856762,沼津市,0.0
523865314,523865534,富士市,0.0
523865152,523865314,富士市,0.0
523855924,523855972,富士市,0.0
523856504,523857303,沼津市,0.0
523856504,523856442,沼津市,0.0
523843231,523832883,静岡市葵区,0.0
523865731,523855843,富士市,0.0
523865512,523864182,富士市,0.0
523705552,523705594,浜松市中区,0.0
523856511,523856762,沼津市,0.0
523864094,523865534,富士市,0.0
523865372,523865553,富士市,0.0
523852292,523842091,静岡市葵区,0.0
523847724,523857501,沼津市,0.0
523847724,523856394,沼津市,0.0
523865363,523865122,富士市,0.0
523865363,523865132,富士市,0.0
523867134,523866782,裾野市,0.0
523864273,523865434,富士市,0.0
523843042,523832294,静岡市駿河区,0.0
523865423,523855793,富士市,0.0
